C,S,Chiral_Centers,Mol_Weight,Formula
C00199,O=C(CO)[C@H](O)[C@H](O)COP(=O)(O)O,2,230.1098,C5H11O8P
C00200,COS(=O)(=O)[O-].C[n+]1c2ccccc2nc2ccccc21,0,306.337,C13H11N2. CH3SO4
C00201,*[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O,4,0.0,C5H12O13P3R
C00202,CC(C)OP(=O)(F)OC(C)C,0,184.1457,C6H14FO3P
C00203,CC(=O)N[C@H]1[C@@H](OP(=O)(O)OP(=O)(O)OC[C@H]2OC(n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)O[C@H](CO)[C@H](O)[C@@H]1O,8,607.3537,C17H27N3O17P2
C00204,O=C(O)C(=O)C[C@H](O)[C@H](O)CO,2,178.14,C6H10O6
C00206,Nc1ncnc2c1ncn2[C@H]1C[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)O)O1,3,411.2017,C10H15N5O9P2
C00207,CC(C)=O,0,58.0791,C3H6O
C00208,OC[C@H]1O[C@H](O[C@@H]2[C@@H](CO)OC(O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,9,342.2965,C12H22O11
C00209,O=C(O)C(=O)O,0,90.0349,C2H2O4
C00210,[1*][Co+]N1/C2=C(/C)C3=N/C(=C\C4=N/C(=C(/C)C5=N[C@@](C)(C1[C@H](CC(N)=O)[C@@]2(C)CCC(=O)NC[C@@H](C)OP(=O)([O-])O[C@H]1[C@@H](O)[C@@H]([2*])O[C@@H]1CO)[C@@](C)(CC(N)=O)[C@@H]5CCC(N)=O)[C@@](C)(CC(N)=O)[C@@H]4CCC(N)=O)C(C)(C)[C@@H]3CCC(N)=O,13,0.0,C53H79CoN11O14P(R1)(R2)
C00211,*C(N)C(=O)N[C@H](*)C(=O)N1CCC[C@H]1C(=O)NC(*)C(=O)O,2,0.0,C4H6N2O3R2(C7H9N2O2R)n
C00212,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,4,267.2413,C10H13N5O4
C00213,CNCC(=O)O,0,89.0932,C3H7NO2
C00214,Cc1cn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]c1=O,3,242.2286,C10H14N2O5
C00216,OC1OC[C@@H](O)[C@@H](O)[C@@H]1O,3,150.1299,C5H10O5
C00217,N[C@H](CCC(=O)O)C(=O)O,1,147.1293,C5H9NO4
C00218,CN,0,31.0571,CH5N
C00219,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O,0,304.4669,C20H32O2
C00220,CN(C)c1ccc2nc3ccc(N(C)C)cc3[s+]c2c1.[Cl-],0,319.8522,C16H18N3S. Cl
C00221,OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O,5,180.1559,C6H12O6
C00222,O=CCC(=O)O,0,88.0621,C3H4O3
C00223,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)/C=C/c1ccc(O)cc1,5,913.6769,C30H42N7O18P3S
C00224,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OS(=O)(=O)O)[C@@H](O)[C@H]1O,4,427.2844,C10H14N5O10PS
C00225,C[n+]1ccc(-c2cc[n+](C)cc2)cc1.[Cl-].[Cl-],0,257.159,C12H14N2. 2Cl
C00226,*CO,0,0.0,CH3OR
C00227,CC(=O)OP(=O)(O)O,0,140.0319,C2H5O5P
C00229,*S,0,0.0,HSR
C00230,O=C(O)c1ccc(O)c(O)c1,0,154.1201,C7H6O4
